t,s_mm_fore,s_mm_hind,beta_deg_fore,beta_deg_hind,d_mm_fore,d_mm_hind
1.0,4.903506076554688,19.004962940025695,21.3776490008107,19.797298286298144,-0.6655418778382445,0.751874701574845
1.02,7.398923048948406,21.338846613698635,23.312046322787253,21.05635019534972,-0.582226699595113,0.997070714647071
1.04,9.889815082336757,23.290977206130886,23.211786939568015,25.46986123964606,-0.4700455139318046,1.484433442176149
1.06,12.37161826376776,24.916327776537116,23.521583098059516,31.56381995322213,-0.310454078850693,1.7549741477327647
1.08,14.540176566714008,25.144376465599944,24.903366540599663,38.072270015533874,-0.0876614914553807,2.02006502301013
1.1,16.4563653793807,25.2116121489279,27.784201907381966,48.90395110065082,0.1207877171929905,1.8568870596496565
1.12,17.74776042045513,24.646566822428113,31.054458947460077,57.872316392173474,0.1904882815306072,1.5403153815461048
1.14,18.546779117330765,23.28442113527995,34.64040869942884,69.32269135409697,0.1293797790864323,0.9137664244979644
1.16,18.71883781015423,21.967186958880077,38.90274103579432,84.68555544407718,-0.0445060870832504,0.4306895101067366
1.18,18.324687883355956,20.352003749626764,43.616812411305105,90.87301518346123,-0.5114162649949976,-0.309252536840397
1.2,17.357283213343134,18.73906819128757,47.87235009821924,94.76185069924551,-1.1571850901215652,-0.8206215226870028
1.22,16.09542589794239,16.567660950738112,53.01082319140812,99.77359086823684,-1.852115646629218,-0.6080709693726879
1.24,14.669447956157214,14.18410972104273,62.46657994816601,101.88263165858878,-2.3548021287950145,-0.3310185866969942
1.26,13.166360928041543,11.773883100932473,73.95651600660614,102.2300119042935,-2.496141640134682,0.098590472378254
1.28,10.829246904332724,9.400261032245004,84.99477052124902,101.621818617937,-2.1993750578272353,0.5476161745670637
1.3,8.951896383559037,6.974610009317993,93.98949566833794,100.94468770511811,-1.5849092565739822,0.7568679493117544
1.32,6.939024521561,4.754581449899454,98.30451276753772,100.04042769243428,-0.6730355863514126,0.5542341011330546
1.34,4.9180648470613635,2.6714586888220784,99.1516046240702,97.09412528484556,0.3202900042511512,0.3560923042158878
1.36,3.1750878577787462,0.4498283248517535,99.03296683985629,96.37177180487576,1.0719959875829586,0.1575511351331821
1.38,1.6110121787485765,-1.7679916301709864,97.22852077814906,94.15340920545664,1.5030898260974046,0.0862177405844755
1.4,-0.1925385863527945,-3.758721204411491,94.9865374860588,92.435307715615,1.7782829384794576,0.0887968758409839
1.42,-2.1160652285656023,-5.605750228690607,92.35605768552104,88.50231322090418,1.9634922614812509,0.1270547677091103
1.44,-4.086931422725624,-7.279307916173663,90.57489463204392,86.62757068213872,1.9762561133168497,0.4404790663063312
1.46,-6.041163986912009,-9.221906156330467,86.03203777678007,86.76867915750165,1.7214655857848808,1.1265738151823517
1.48,-7.9440942850913965,-10.770656026886517,83.49806029727159,86.37162056848281,1.2120907386990267,1.7276537809912096
1.5,-9.623291237606216,-12.268130711618577,80.04091446842874,84.69750372523221,0.6146877031138461,1.9778140489676337
1.52,-11.211893573253535,-13.808543827647014,76.92614939722105,84.55598703246937,0.0887505122456941,2.0759028672542277
1.54,-12.990020935750858,-15.392865372752592,77.59807850597471,83.9929375982961,-0.2510269485483745,1.8485968870609564
1.56,-14.6807600323846,-16.37298407265245,79.0412126437344,84.148942236202,-0.4830535807776893,1.56035029239793
1.58,-15.8610033939807,-17.356742925814704,79.4504605543958,83.13217009206923,-0.5696834646916329,0.9903572663119438
1.6,-17.147698464410794,-17.871390177316908,81.47279856465398,81.170308186139,-0.5001907039930439,0.5555785034108356
1.62,-17.51831588871508,-18.421401975855417,78.06689426291275,74.36947020346979,-0.3116986747318043,0.4881084404147239
1.64,-19.03761650932885,-18.43269846777467,74.25054437606458,68.03061554604902,-0.0007891928763822,0.5462669704873465
1.66,-19.71993196224847,-18.280301245115226,70.55812876282872,58.485423751544744,0.3311743446182895,0.5254200016753796
1.68,-20.31309052355748,-17.908937011767474,65.35743472021323,53.02289591869267,0.6626026339683649,0.9141625869233436
1.7,-20.6100167104915,-16.984662088485777,57.81930504321809,48.83131776561748,0.8920387100414426,1.4407576834101907
1.72,-20.467610047686545,-15.952879434641018,45.6559832089151,46.92975944075627,0.8146413993118492,2.1518293488715625
1.74,-19.917849338708898,-14.3289715240372,32.08338746952457,42.36700425662561,0.5845632958910748,2.5483089791771
1.76,-19.082382366833375,-12.754360065945708,23.86050170452088,38.43941134204392,0.4655329912384882,2.8116285094466233
1.78,-18.00892401594814,-10.879224231509564,18.37336933592078,32.287664846281885,0.4703632871812214,2.68931317394057
1.8,-16.74942614511309,-8.70575051312851,18.763101413896702,21.929143433639076,0.5114376275076697,2.328140854159235
1.82,-14.914744685407456,-6.285779606498007,18.33001642044079,15.56150759435745,0.4817039992193047,1.7300978525553996
1.84,-12.911597338712289,-3.319174574236275,17.525399673405936,10.54110543099466,0.3684657825999707,0.9413214590616616
1.86,-10.87521874652109,-0.2521939329289545,17.699829804045166,9.699396860007775,0.2153010768986524,0.4066764812066761
1.88,-8.577378690513955,2.491719644047229,17.716356480277682,9.316445741725506,0.0533328427585147,-0.0824294134358533
1.9,-6.127928994099382,5.516411925509049,17.725090796750806,10.229315226915032,-0.1192660272349932,-0.10298404572705
1.92,-3.684598681373598,8.635990472432518,17.273316598042495,13.909055512070292,-0.2731869078248777,-0.0390920399926847
1.94,-1.079497152390669,11.73554640606232,17.40185865517798,15.112484045710197,-0.3773631221323218,0.2239012939668584
1.96,1.5167615852666183,14.590970750888404,18.52416498221765,15.371149638338675,-0.4440033616084056,0.3170320286451923
1.98,4.078488715559992,17.595602941886714,19.65045400140539,15.78833590099347,-0.4638070474487127,0.6743461882962769
2.0,6.792382833332887,20.52804112429825,20.440720479303614,16.992336646274854,-0.4005183504163831,0.8535676444826477
2.02,9.345672075686023,22.863115639508273,22.09724720016399,19.567633552735515,-0.2597693699024805,1.1905026826892195
2.04,11.73908528369519,24.81264945303932,23.42035511357943,22.909141322169567,-0.0689099806746624,1.5489593122917196
2.06,14.050675484393574,26.34318067770212,24.678034706750537,28.882326466364415,0.1458174021928043,1.875049220257164
2.08,15.8379647678167,26.5277406091565,27.715727862614223,37.21863967129107,0.3327372962232809,2.255128130852353
2.1,17.200660147510497,26.70637521152654,31.937821752079063,48.22184657060627,0.489938125007882,2.3988278406194974
2.12,18.07994570302126,26.234118443931745,36.610314552346,57.778664455928464,0.5783370622069978,2.2684210848020663
2.14,18.401435125912226,25.04450671027919,42.025920478804856,68.71815065761521,0.5180696924792474,1.6882511674420937
2.16,18.230593414052375,23.738454776924712,47.773187530498234,85.40201419760245,0.294315975913274,1.1413896232037708
2.18,17.66922948787219,21.820367456840906,53.12570652400409,100.4283698715134,-0.0888558320844971,0.72388377568129
2.2,16.553153032990586,20.106974691740913,59.61078881995252,111.4773785867322,-0.629448693950576,0.3909115848358132
2.22,15.159250289150249,18.544227146736365,68.95862769933302,111.60088103244976,-1.1354082024782477,-0.2106259240442963
2.24,13.530172332027243,16.812936125005383,80.81637288506617,107.58705703117865,-1.486278592877293,-0.2932531937220302
2.26,11.91940577929112,14.577923645459329,90.75988552983203,106.6845771465826,-1.6593521456699836,-0.0286779768091383
2.28,10.047152143441911,12.038438816488435,98.11810226927874,107.66318156623306,-1.4626495755135964,0.4698942800936293
2.3000000000000003,8.132996771106335,9.358763461523749,102.50433799614204,107.46322795952872,-0.8071538079570939,0.7522209188522584
2.32,5.806002244227236,7.178825643677076,104.59291891671396,107.5782365061998,0.0145847181826878,0.6862961561092549
2.34,4.083551309208376,5.089792432956828,105.54782040584328,107.3008388331946,0.8198322400931342,0.5462885236414134
2.36,1.8133609570241256,3.1153922664760465,107.17865308969044,105.94048640404682,1.4607405777940592,0.4458712261986898
2.38,-0.115127878955781,1.0225952451011455,106.1869487478003,102.9340880399156,1.8127461418844824,0.3816252068191645
2.4,-2.182682237168675,-1.138652912993061,104.72963271275614,101.60552603069912,1.8836143087242356,0.5003657082762337
2.42,-4.170697602723799,-3.0797014880670286,102.06439693136116,97.48252650753037,1.7939344119642593,0.3672708912910079
2.44,-5.703199804875688,-5.024872140779192,97.06182229015393,96.79560051452636,1.5888451505701044,0.4585398746741067
2.46,-7.843901812827378,-6.946669976828922,93.26934043586796,94.75563715994208,1.263205210512869,0.6736386447463958
2.48,-9.21919547182445,-8.765905983047848,90.01606344458098,94.63926203987218,0.7738345497836796,0.812599209744247
2.5,-10.535775798227895,-10.664497688711595,86.94689453115494,94.7166156013173,0.1414421245400945,1.1608331342298732
2.52,-12.121467470339022,-12.147110983320214,85.10214579985245,93.99447124601456,-0.4868229436370204,1.205774082028341
2.54,-14.12054144282143,-13.569181876245482,84.77456388385193,92.56956005983888,-0.8468680752812787,0.8418051571693969
2.56,-15.445649166701564,-14.553606027848335,86.57630806768384,90.05434193118424,-0.861081479023098,0.2975313249655834
2.58,-16.859488472649144,-15.63432471219954,87.91388995068849,87.88209827370636,-0.8362760366575182,-0.107155092899276
2.6,-17.833995398129424,-16.457230348968146,88.91904350842394,84.10412335503875,-0.8322391518755341,-0.4701854780709567
2.62,-18.79663558776214,-17.48312716147712,87.335797637073,81.8232074849702,-0.6519142490699306,-0.5938025580547684
2.64,-19.646830346393205,-17.835879316580293,86.22330290543034,80.57931776969556,-0.3193243648574304,-0.6577564870412822
2.66,-20.04805093624677,-18.2113973106076,81.24781219090475,75.46730096823723,-0.046013413819405,-0.6752751747142425
2.68,-20.030146264833917,-18.235296056822037,71.52761152005834,70.81346795354588,0.0357715450786544,-0.6856065650886436
2.7,-19.70405454009493,-17.712404255427273,59.03547417004043,65.45029799198883,-0.0750187154588005,-0.449922947566122
2.72,-19.10016732443695,-17.188835570723036,46.38502382524068,62.08106456613518,-0.3097633526245132,0.0141376100030124
2.74,-18.255613431096595,-16.083626097043652,34.17918787831986,60.07064036419525,-0.4947569152406124,0.7095963605763722
2.76,-17.335436222651854,-14.783443364767011,26.36245708346127,56.0468547288222,-0.5621840086623093,1.348139836151795
2.78,-16.112646570820583,-12.848295642090353,23.370727103906383,50.7610379851716,-0.510571609313435,1.7800427720070224
2.8000000000000003,-14.535596590594867,-10.880514744045623,22.110438951059876,44.05378156626352,-0.447034160452781,1.7880692767827244
2.82,-12.641435462338343,-8.931655971193354,21.849471016645825,36.24160870702771,-0.377032416251606,1.7659823090170892
2.84,-10.677648104732882,-6.798242132929829,22.797185282973288,31.142916848559363,-0.2484846228365967,1.466608335356918
2.86,-8.586882789013066,-4.447736261888035,24.032405762168853,27.983959009599527,-0.1415516394223932,1.1768363228206378
2.88,-6.299701921787736,-1.7629746497714744,25.363148641570316,24.56849457512938,-0.0969416775679089,0.7645192702751313
2.9,-3.707878521158851,0.9719618486131424,24.87719407602964,23.489210475446164,-0.0812419266806382,0.4765170720502247
2.92,-1.1472917686329112,3.5735323663272083,23.65305915452222,22.70544773644322,-0.0453192894980243,0.2871652205111904
2.94,1.3253204123925706,6.654758011224826,24.151778119901508,22.4147810818196,0.015941166796676,0.4400753272412431
2.96,3.896216647714317,9.515817380697564,24.239328931217408,22.809299280759284,0.0762975494978287,0.5851905005321405
2.98,6.50181947726864,11.991351597785204,25.34810406152211,23.105904133548705,0.0861627610147646,0.8355338375996275
3.0,9.103640731738318,14.657486725989031,24.833677285900013,23.670288883510413,0.1075713463633521,1.0249125678785491
3.02,11.404860742479404,17.21791130891465,26.389152736439826,26.39030474067844,0.2778079422157044,1.490532198073376
3.04,13.84886743956056,19.27216082322308,27.971123872662105,27.563903930201047,0.4557982606358932,1.6718368761865123
3.06,16.157220243264636,21.05316379890458,27.122701121448568,31.39166587669925,0.523555729277621,1.9464144066209048
3.08,18.138550919619043,22.60808597454429,27.56028003542252,37.05236332049115,0.5913130981313958,2.24132460222917
3.1,19.83800152738064,23.023872772626778,27.91733731360394,43.52580431825279,0.6256577962454306,2.446704135370615
3.12,21.358307911853405,23.34887523757312,28.92106738809766,53.89737679728806,0.5529847712055898,2.6371701483561028
3.14,22.265537459950536,23.126744126879597,31.26453689647232,66.45051724144483,0.4635375141214509,2.629799034814913
3.16,22.97445409672136,22.269116164386457,33.78574817597348,79.0172593172734,0.3313804782345261,2.0430394081800203
3.18,23.13867124677931,21.07168660014629,38.437485123158346,93.3224067816821,0.1217718943099176,1.056441355761318
3.2,22.888900270761255,19.092349124525704,43.7554192467707,112.69798572734712,-0.1869396482732499,0.5582163882641974
3.22,22.091011066618783,17.187013708603683,49.88398876601184,127.18446847662676,-0.6009030011752332,0.3252758062745303
3.24,20.75085268340063,15.231776962810889,58.75050864276751,128.14241565027456,-1.0003440153796388,0.2283715165965262
3.26,18.995043902296946,13.301642177627174,71.28666190474448,127.14058728105364,-1.2771889057756254,0.2944122798665736
3.28,17.203506406404447,11.15258059694955,84.18601026841718,122.5172390783763,-1.365571113354892,0.5433494950907828
3.3000000000000003,15.471436272074428,8.822543741731572,94.07736701427228,121.04186478608769,-1.219355486568839,0.8604318422635732
3.3200000000000003,13.735931995810803,6.590606042108759,98.8484427060519,117.77484782704356,-0.7449445963465524,1.2588757047175962
3.34,11.863186369976628,4.601465103130883,99.53489654018895,116.62457314740897,0.0035522944803997,1.194394940821519
3.36,9.95845616652596,2.625867848874387,99.50496958155622,116.6549547276902,0.7909419842277123,1.02079514971132
